gene_symbol,ENSEMBL_ID,IBD,IBD.1,non.IBD,non.IBD.1,non.IBD.2,IBD.2,IBD.3,non.IBD.3,IBD.4,non.IBD.4
HSD17B8,ENSG00000204228,93.47185707,58.77014429,25.19202317,82.33904202,58.32584972,69.89317502,39.10172359,101.1575105,145.6137931,66.22460461
RING1,ENSG00000204227,105.6950999,165.1917569,86.37265086,130.9939305,107.902822,184.1088513,154.8428254,146.1933885,205.9184953,146.7680426
VPS52,ENSG00000223501,245.9028855,198.5477848,295.1065571,231.2978544,284.0468881,189.222986,267.4557893,205.7793193,179.4432602,245.2100225
RPS18,ENSG00000231500,1463.19407,1529.612134,766.5572764,1407.249082,1275.586333,1385.078164,1274.716189,1805.592277,1175.20627,851.970589
B3GALT4,ENSG00000235863,99.94298564,150.8963164,165.5475808,92.07001972,136.4824883,73.30259819,129.8177223,74.82884339,120.6094044,223.7317723
WDR46,ENSG00000227057,271.7873998,192.1942556,161.9487204,226.0580972,225.7210384,227.5789967,253.3791689,266.7509695,304.4652038,277.4273977
PFDN6,ENSG00000204220,112.1662285,115.9519063,82.77379041,134.7366142,112.56889,114.2156763,132.9458602,144.8076692,157.3805643,161.0868761
RGL2,ENSG00000237441,198.4479427,160.4266101,111.564674,189.3797967,165.6454132,237.8072662,168.9194459,207.1650386,275.0482759,143.1883343
TAPBP,ENSG00000231925,4160.216654,4566.599049,2315.866701,2098.897035,2351.115002,3275.603312,3806.943809,1597.041519,4643.462069,2910.302894
ZBTB22,ENSG00000236104,104.9760856,90.53778985,163.7481506,127.2512468,117.8182164,141.4910616,104.7926192,109.4718264,135.3178683,127.0796467
DAXX,ENSG00000204209,355.9120711,311.3229265,271.7139642,312.8883597,327.7912754,390.3789532,391.0172359,268.1366888,370.6532915,368.7099608
KIFC1,ENSG00000237649,412.7141997,198.5477848,68.3783486,261.2393242,246.1350858,247.18318,365.9921328,276.4510047,173.5598746,141.3984801
PHF1,ENSG00000112511,530.6325424,389.1536581,390.4763591,640.7474543,340.0397039,607.7296804,326.8904092,505.0946929,779.5485894,456.4128155
CUTA,ENSG00000112514,974.9833707,770.3654049,840.3339156,1039.71754,852.7239229,1096.981906,661.6011631,901.410419,1473.788088,885.9778184
